Track,Frequency,Note,Key,Channel,Port
3,58080, Note_on_c,2,39,127,0
3,58176, Note_off_c,2,39,64,0
3,58324, Note_on_c,2,39,99,0
3,58412, Note_off_c,2,39,64,0
3,58564, Note_on_c,2,39,127,0
3,58736, Note_off_c,2,39,64,0
3,58812, Note_on_c,2,39,101,0
3,59360, Note_off_c,2,39,64,0
3,59524, Note_on_c,2,39,127,0
3,59876, Note_off_c,2,39,64,0
3,60008, Note_on_c,2,39,127,0
3,60088, Note_off_c,2,39,64,0
3,60252, Note_on_c,2,39,107,0
3,60320, Note_off_c,2,39,64,0
3,60484, Note_on_c,2,39,127,0
3,60684, Note_off_c,2,39,64,0
3,60816, Note_on_c,2,39,118,0
3,61232, Note_off_c,2,39,64,0
3,61440, Note_on_c,2,34,127,0
3,61920, Note_on_c,2,31,127,0
3,61928, Note_off_c,2,34,64,0
3,62076, Note_on_c,2,29,77,0
3,62276, Note_off_c,2,31,64,0
3,62316, Note_on_c,2,34,127,0
3,62336, Note_off_c,2,29,64,0
3,62476, Note_off_c,2,34,64,0
3,62652, Note_on_c,2,34,101,0
3,62796, Note_on_c,2,31,104,0
3,62868, Note_off_c,2,34,64,0
3,63044, Note_on_c,2,29,86,0
3,63180, Note_off_c,2,31,64,0
3,63332, Note_off_c,2,29,64,0
3,63360, Note_on_c,2,34,118,0
3,63772, Note_off_c,2,34,64,0
3,63840, Note_on_c,2,26,118,0
3,64212, Note_off_c,2,26,64,0
3,64320, Note_on_c,2,27,118,0
3,64716, Note_off_c,2,27,64,0
3,64800, Note_on_c,2,28,118,0
3,65040, Note_on_c,2,29,118,0
3,65140, Note_off_c,2,28,64,0
3,65280, Note_on_c,2,41,127,0
3,65292, Note_off_c,2,29,64,0
3,65640, Note_on_c,2,38,87,0
3,65776, Note_off_c,2,41,64,0
3,66004, Note_on_c,2,36,99,0
3,66020, Note_off_c,2,38,64,0
3,66156, Note_on_c,2,41,127,0
3,66220, Note_off_c,2,36,64,0
3,66312, Note_off_c,2,41,64,0
3,66492, Note_on_c,2,41,101,0
3,66596, Note_off_c,2,41,64,0
3,66636, Note_on_c,2,41,104,0
3,66636, Note_on_c,2,38,104,0
3,66768, Note_off_c,2,41,64,0
3,66964, Note_on_c,2,36,102,0
3,67036, Note_off_c,2,38,64,0
3,67156, Note_off_c,2,36,64,0
3,67204, Note_on_c,2,39,127,0
3,67684, Note_off_c,2,39,64,0
3,67688, Note_on_c,2,36,127,0
3,67932, Note_on_c,2,34,107,0
3,68016, Note_off_c,2,36,64,0
3,68204, Note_off_c,2,34,64,0
3,68320, Note_on_c,2,39,83,0
3,68488, Note_off_c,2,39,64,0
3,68564, Note_on_c,2,39,103,0
3,68720, Note_on_c,2,36,118,0
3,68728, Note_off_c,2,39,64,0
3,69040, Note_off_c,2,36,64,0
3,69120, Note_on_c,2,34,127,0
3,69600, Note_on_c,2,31,127,0
3,69608, Note_off_c,2,34,64,0
3,69756, Note_on_c,2,29,77,0
3,69956, Note_off_c,2,31,64,0
3,69996, Note_on_c,2,34,127,0
3,70016, Note_off_c,2,29,64,0
3,70156, Note_off_c,2,34,64,0
3,70332, Note_on_c,2,34,101,0
3,70476, Note_on_c,2,31,104,0
3,70548, Note_off_c,2,34,64,0
3,70724, Note_on_c,2,29,86,0
3,70860, Note_off_c,2,31,64,0
3,71012, Note_off_c,2,29,64,0
3,71040, Note_on_c,2,34,118,0
3,71240, Note_off_c,2,34,64,0
3,71340, Note_on_c,2,34,118,0
3,71488, Note_on_c,2,31,118,0
3,71508, Note_off_c,2,34,64,0
3,71764, Note_on_c,2,29,118,0
3,71804, Note_off_c,2,31,64,0
3,72228, Note_off_c,2,29,64,0
3,72288, Note_on_c,2,29,118,0
3,72456, Note_on_c,2,31,118,0
3,72472, Note_off_c,2,29,64,0
3,72744, Note_on_c,2,29,118,0
3,72756, Note_off_c,2,31,64,0
3,72916, Note_off_c,2,29,64,0
3,72960, Note_on_c,2,34,127,0
3,73440, Note_on_c,2,31,127,0
3,73448, Note_off_c,2,34,64,0
3,73596, Note_on_c,2,29,77,0
3,73796, Note_off_c,2,31,64,0
3,73836, Note_on_c,2,34,127,0
3,73856, Note_off_c,2,29,64,0
3,73996, Note_off_c,2,34,64,0
3,74172, Note_on_c,2,34,101,0
3,74316, Note_on_c,2,31,104,0
3,74388, Note_off_c,2,34,64,0
3,74564, Note_on_c,2,29,86,0
3,74700, Note_off_c,2,31,64,0
3,74852, Note_off_c,2,29,64,0
3,74884, Note_on_c,2,34,127,0
3,75368, Note_on_c,2,31,127,0
3,75420, Note_off_c,2,34,64,0
3,75612, Note_on_c,2,29,107,0
3,75756, Note_off_c,2,31,64,0
3,75844, Note_on_c,2,34,127,0
3,75876, Note_off_c,2,29,64,0
3,75992, Note_off_c,2,34,64,0
3,76096, Note_on_c,2,34,106,0
3,76348, Note_off_c,2,34,64,0
3,76484, Note_on_c,2,31,80,0
3,76720, Note_on_c,2,29,92,0
3,76800, Note_on_c,2,34,127,0
3,76880, Note_off_c,2,31,64,0
3,77096, Note_off_c,2,29,64,0
3,77280, Note_on_c,2,31,127,0
3,77288, Note_off_c,2,34,64,0
3,77436, Note_on_c,2,29,77,0
3,77636, Note_off_c,2,31,64,0
3,77676, Note_on_c,2,34,127,0
3,77696, Note_off_c,2,29,64,0
3,77836, Note_off_c,2,34,64,0
